date,OT
2016-07-01 00:00:00.000000,38.6619987487793
2016-07-01 01:00:00.010000,37.124000549316406
2016-07-01 02:00:00.020000,36.46500015258789
2016-07-01 03:00:00.030000,33.60850143432617
2016-07-01 04:00:00.040000,31.850500106811523
2016-07-01 05:00:00.050000,30.53199958801269
2016-07-01 06:00:00.060000,30.093000411987305
2016-07-01 07:00:00.070000,29.87299919128418
2016-07-01 08:00:00.080000,29.65299987792969
2016-07-01 09:00:00.090000,29.21349906921387
2016-07-01 10:00:00.000000,27.45599937438965
2016-07-01 11:00:00.010000,27.45599937438965
2016-07-01 12:00:00.020000,27.236499786376953
2016-07-01 13:00:00.030000,26.57699966430664
2016-07-01 14:00:00.040000,26.79700088500977
2016-07-01 15:00:00.050000,26.79700088500977
2016-07-01 16:00:00.060000,26.79700088500977
2016-07-01 17:00:00.070000,26.57749938964844
2016-07-01 18:00:00.080000,26.57749938964844
2016-07-01 19:00:00.090000,26.13750076293945
2016-07-01 20:00:00.000000,26.13750076293945
2016-07-01 21:00:00.010000,25.69849967956543
2016-07-01 22:00:00.020000,25.917999267578125
2016-07-01 23:00:00.030000,25.917999267578125
2016-07-02 00:00:00.040000,25.917999267578125
2016-07-02 01:00:00.050000,26.357500076293945
2016-07-02 02:00:00.060000,26.13750076293945
2016-07-02 03:00:00.070000,25.69849967956543
2016-07-02 04:00:00.080000,25.69849967956543
2016-07-02 05:00:00.090000,25.917999267578125
2016-07-02 06:00:00.000000,25.917999267578125
2016-07-02 07:00:00.010000,25.917999267578125
2016-07-02 08:00:00.020000,25.478500366210927
2016-07-02 09:00:00.030000,25.697999954223643
2016-07-02 10:00:00.040000,25.917999267578125
2016-07-02 11:00:00.050000,25.917999267578125
2016-07-02 12:00:00.060000,26.13750076293945
2016-07-02 13:00:00.070000,26.357500076293945
2016-07-02 14:00:00.080000,26.57749938964844
2016-07-02 15:00:00.090000,27.45599937438965
2016-07-02 16:00:00.000000,27.67600059509277
2016-07-02 17:00:00.010000,28.11549949645996
2016-07-02 18:00:00.020000,28.554500579833984
2016-07-02 19:00:00.030000,28.77449989318848
2016-07-02 20:00:00.040000,29.653499603271484
2016-07-02 21:00:00.050000,29.21349906921387
